recruiter,target,result,type,date
崔琰,應劭,Success,Normal,
劉備,王淩,Success,Normal,
劉備,高覽,Success,Normal,
田豫,董昭,Success,Normal,
軻比能,張郃,Success,Normal,
簡雍,程秉,Success,Normal,
王淩,季雍,Success,Normal,
關羽,朱靈,Success,Normal,
張郃,高幹,Success,Normal,
崔琰,牽招,Success,Normal,
崔琰,淳于瓊,Success,Normal,
董昭,田豐,Success,Normal,
辛評,鄭渾,Success,Normal,
辛毘,張邈,Success,Normal,
田豫,蘇由,Success,Normal,
劉備,許攸,Success,Normal,
簡雍,張南,Success,Normal,
田豫,軻比能,Success,Normal,
劉備,審榮,Success,Normal,
田豫,朱靈,Success,Normal,
劉備,蹋頓,Success,Normal,
劉備,陳琳,Success,Normal,
荀諶,張郃,Success,Normal,
沮授,趙雲,Success,Normal,
田豫,張顗,Success,Normal,
荀諶,張郃,Success,Normal,
辛毘,張郃,Cancelled,Normal,
田豫,趙雲,Failed,Normal,
沮授,趙雲,Success,Normal,
張郃,潘鳳,Failed,Normal,
田豫,張顗,Success,Normal,
陳琳,張顗,Failed,Normal,
沮授,關純,Success,Normal,
辛毘,耿武,Failed,Normal,
荀諶,陰夔,Success,Normal,
崔琰,韓馥,Failed,Normal,
劉備,辛評,Success,Normal,
軻比能,高蕃,Success,Normal,
劉備,潘鳳,Success,Normal,
辛毘,張顗,Success,Normal,
張郃,耿武,Failed,Normal,
崔琰,韓馥,Success,Normal,
崔琰,耿武,Success,Normal,
辛評,于禁,Failed,Normal,
張郃,于禁,Failed,Normal,
劉備,于禁,Failed,Normal,
荀諶,薛禮,Success,Normal,
陳琳,薛禮,Cancelled,Normal,
關羽,薛禮,Cancelled,Normal,
耿武,韓浩,Cancelled,Normal,
韓馥,韓浩,Cancelled,Normal,
陰夔,韓浩,Cancelled,Normal,
沮授,韓浩,Cancelled,Normal,
劉備,韓浩,Cancelled,Normal,
(俘虜系統),季雍,Success,Prisoner,
潘鳳,王淩,Cancelled,Normal,
張顗,牽招,Cancelled,Normal,
沮授,牽招,Cancelled,Normal,
才辛毘,牽招,Cancelled,Normal,
崔琰,牽招,Cancelled,Normal,
趙範,牽招曲梁,Cancelled,Normal,
應劭,牽招,Cancelled,Normal,
崔琰,牵招,Cancelled,Normal,
荀諶,牽招,Cancelled,Normal,
審榮,高覽,Failed,Normal,
田豫,高覽,Failed,Normal,
辛毘,高覽,Success,Normal,
辛評,橋瑁,Cancelled,Normal,
崔琰,橋瑁,Cancelled,Normal,
蘇由,橋瑁,Cancelled,Normal,
董昭,橋瑁,Cancelled,Normal,
應劭,薛蘭,Success,Normal,
耿武,薛蘭,Cancelled,Normal,
陰夔,薛蘭,Cancelled,Normal,
高蕃,牽招,Failed,Normal,
軻比能,牽招,Failed,Normal,
簡雍,牽招,Success,Normal,
崔琰,牽招,Cancelled,Normal,
崔琰,牽招,Cancelled,Normal,
董昭,麴義,Failed,Normal,
荀諶,麴義,Failed,Normal,
簡雍,麴義,Failed,Normal,
關羽,麴義,Failed,Normal,
韓馥,麴義,Failed,Normal,
辛評,麴義,Failed,Normal,
牽招,麴義,Failed,Normal,
崔琰,麴義,Success,Normal,
潘鳳,文醜,Failed,Normal,
麴義,文醜,Failed,Normal,
馬延,文醜,Failed,Normal,
薛蘭,文醜,Failed,Normal,
耿武,文醜,Failed,Normal,
關純,文醜,Failed,Normal,
張郃,文醜,Failed,Normal,
朱靈,文醜,Failed,Normal,
審榮,文醜,Failed,Normal,
劉備,郭圖,Cancelled,Normal,
關羽,郭圖,Cancelled,Normal,
韓馥,文醜,Failed,Normal,
崔琰,文醜,Success,Normal,
董昭,淳于瓊,Failed,Normal,
陰夔,淳于瓊,Failed,Normal,
辛評,張邈,Success,Normal,
牽招,張邈,Cancelled,Normal,
劉備,張邈,Cancelled,Normal,
陳琳,韓浩,Cancelled,Normal,
辛毘,韓浩,Cancelled,Normal,
耿武,韓浩,Cancelled,Normal,
高覽,韓浩,Cancelled,Normal,
陳琳,韓浩,Cancelled,Normal,
牽招,韓浩,Cancelled,Normal,
朱靈,韓浩,Cancelled,Normal,
高覽,韓浩,Cancelled,Normal,
陳琳,韓浩,Cancelled,Normal,
沮授,韓浩,Cancelled,Normal,
陳琳,橋瑁,Cancelled,Normal,
張邈,橋瑁,Cancelled,Normal,
簡雍,橋瑁,Cancelled,Normal,
田豫,橋瑁,Cancelled,Normal,
荀諶,橋瑁,Cancelled,Normal,
陳琳,孫乾,Cancelled,Normal,
沮授,孫乾,Cancelled,Normal,
董昭,孫乾,Cancelled,Normal,
應劭,孫乾,Cancelled,Normal,
沮授,程昱,Cancelled,Normal,
